species_latin,species_name,name,early ripens,late ripens,origin_year,city,county,state,country,uses,in-db,RIPEN FOR LA,sentence,
Vitis rotundifolia,Muscadine,Cowart,Late October,Late October,,,,,United States,,,,,
Vitis rotundifolia,Muscadine,Black Beauty,Late September,Late September,,,,,United States,,,,,
Vitis rotundifolia,Muscadine,Carlos,Late September,Late September,,,,,United States,,,,,
Vitis rotundifolia,Muscadine,Fry ,Late September,Late September,,,,,United States,,,,,
Vitis rotundifolia,Muscadine,Southland,Late September,Late September,,,,,United States,,,,,
Vitis rotundifolia,Muscadine,Pineapple,Late October,Late October,,,,,United States,,,,,
Vitis rotundifolia,Muscadine,Granny Val,October,October,,,,,United States,,,,,
Vitis rotundifolia,Muscadine,Creek,October,October,,,,,United States,,,,,
Vitis rotundifolia,Muscadine,Late Fry,Late October,Late October,,,,,United States,,,,,
Vitis rotundifolia,Muscadine,Higgins,October,October,,,,,United States,,,,,
Diospyros kaki,Asian Persimmon,Jiro,Late October,Late October,,,,,Japan,,,,,
Punica granatum,Pomegranate,Haku Botan,September,September,,,,,Japan,,,,,
Punica granatum,Pomegranate,Wonderful,Late October,October,,,,Florida,United States,,,,,
Citrus unshiu,Satsuma,Owari,Late October,Late October,,,,,Japan,,,,,
Crataegus opaca,Mayhaw,Seedling,Late April,Late April,,,,Louisiana,United States,,,,,
Prunus persica,Peach,Florida Queen,June,June,,,,Florida,United States,,,,,
Prunus persica,Peach,Florida King,Early June,Early June,,,,Florida,United States,,,,,
Prunus persica,Peach,Gulf King,Early June,Early June,,,,Florida,United States,,,,,
Diospyros kaki,Asian Persimmon,Saijo,September,September,,,,,Japan,,,,,
Malus domestica,Apple,Fox,August,August,,Gatlinburg,,Tennessee,United States,y,,,,
Malus domestica,Apple,Knobby Russet,,,1820,,,Sussex,England,,,,,
Malus domestica,Apple,Ashmead's Kernel (3x),,,1700s,,,,England,,,,,
Malus domestica,Apple,Venus Pippin,,,,,,Devon,England,y,,,,
Malus domestica,Apple,American Golden Russet,,,1845,,,New York,United States,,,,,
Malus domestica,Apple,Goldrush,,,1990s,,,Indiana,United States,f,,,,
Malus domestica,Apple,Cheddar,,,,,,,England,,,,,
Malus domestica,Apple,Cheddar Cross,,,1916,,,,England,,,,,
Malus sieversii,Apple,Kaz 96-03-04,,,,,,,Kazakhstan,,,,,
Malus domestica,Apple,Crimson King,,,,,,Somerset,England,,,,,
Malus domestica,Apple,Mannington Pearmain,,,1700,,,Sussex,England,,,,,
Malus domestica,Apple,Cornish Aromatic,,,1813,,,Cornwall,England,,,,,
Malus sieversii,Apple,Kaz 96-09-019-2,,,,,,,Kazakhstan,,,,,
Malus sieversii,Apple,Kaz 96-01-01P-2,,,,,,,Kazakhstan,,,,,
Malus sieversii,Apple,Kaz 96-05-04,,,,,,,Kazakhstan,,,,,
Malus domestica,Apple,Summer Rambo,,,1500,,,,France,,,,,
Malus domestica,Apple,Fall Pippin (3x),,,1800s,,,,United States,,,,,
Malus domestica,Apple,Kingston Black,,,1800s,,,Somerset,England,y,,,,
Malus domestica,Apple,Lamb Abbey Pearmain,,,1804,,,Kent,England,,,,,
Malus domestica,Apple,Grimes Golden,,,1830s,,,West Virginia,United States,,,,,
Malus domestica,Apple,Northern Spy,,,1840,Rochester,,New York,United States,,,,,
Malus domestica,Apple,Egremont Russet,,,1872,,,Sussex,England,,,,,
Malus domestica,Apple,Tydesman's Late Orange,,,1929,,,Kent,England,,,,,
Malus domestica,Apple,Hoople's Antique Gold,,,,,,,United States,f,,,,
Malus domestica,Apple,Harrison Cider,,,1700s,,,New Jersey,United States,y,,,,
Malus sieversii,Apple,Kaz 96-09-02,,,,,,,Kazakhstan,,,,,
Malus sieversii,Apple,Kaz 96-06-02,,,,,,,Kazakhstan,,,,,
Malus domestica,Apple,Flower of Kent,,,,,,Kent,England,,,,,
Malus domestica,Apple,Washington Strawberry (3x),,,1849,,,New York,United States,,,,,
Malus domestica,Apple,Original Winesap,,,1800s,,,,United States,y,,,,
Malus sieversii,Apple,Kaz 95-06-08,,,,,,,Kazakhstan,,,,,
Malus domestica,Apple,Red Astrachan,,,1800s,,,,Russia,,,,,
Malus domestica,Apple,Yarrington Mills,,,1898,,,Somerset,England,y,,,,
Malus domestica,Apple,Bulmer's Norman (3x),,,,,,Normandy,France,y,,,,
Malus domestica,Apple,Ribston Pippin (3x),,,,,,Yorkshire,England,y,,,,
Malus domestica,Apple,Spigold (3x),,,,,,New York,United States,,,,,
Malus domestica,Apple,Jonagold (3x),,,1953,,,New York,United States,f,,,,
Malus domestica,Apple,Bisbee Giant Winesap (3x),,,,,,Oregon,United States,y,,,,
Malus domestica,Apple,Hunter Melba (4X),,,,,,Ontario,Canada,,,,,
Malus domestica,Apple,Perrine Yellow Transparent (4x),,,,,,,Russia,y,,,,
Malus domestica,Apple,Rouge Belle de Boskoop (3x),,,,,,,Netherlands,,,,,
Malus domestica,Apple,Sweden Spartan (4x),,,1920,,,,Canada,,,,,
Malus domestica,Apple,Delistein (3x),,,,,,Arkansas,United States,,,,,
Malus domestica,Apple,Karmijn de Sonnaville (3x),,,,,,,Netherlands,,,,,
Malus domestica,Apple,Westland (3x),,,,Brooks,,Alberta,Canada,,,,,
Malus domestica,Apple,Holstein (3x),,,1918,,,,Germany,,,,,
Malus domestica,Apple,Court Royal (3x),,,,,,Devon,England,,,,,
Malus domestica,Apple,Smith Jonathan (4x),,,,,,,United States,,,,,
Malus domestica,Apple,Baldwin (3x),,,1750,Boston,,Massachusetts,United States,,,,,
Malus domestica,Apple,Sir Prize (3x),,,1975,,,,United States,,,,,
Malus domestica,Apple,Reinette d' Anjou (3x),,,,,,,England,,,,,
Malus domestica,Apple,Reinette Grise de Portugal (3x),,,,,,,Portugal,,,,,
Malus domestica,Apple,Reinette Ontz (3x),,,,,,,England,,,,,
Malus domestica,Apple,Scarlet Crofton,,,,,,,Ireland,,,,,
Malus domestica,Apple,Malling Kent,,,,,,Kent,England,,,,,
