"species_latin","species","name","early ripens","late ripens","origin_year","City 1","County 1","State 1","country","uses"
"Malus domestica","Apple","Beecher","July","August",,"Macon",,"NC","United States","f"
"Malus domestica","Apple","Belcher Mountain","October","October",,"Woolwine",,"VA","United States",
"Malus domestica","Apple","Belmont","October","October",1817,"PA",,,"United States","f"
"Malus domestica","Apple","Ben Lomand Limbertwig",,,,"Ben Lomand Mountain",,"TN","United States",
"Malus domestica","Apple","Ben Davis","October","October",1799,,"Butler County","KY","United States","sp"
"Malus domestica","Apple","Benham","July","August",1887,,,"TN","United States","fp"
"Malus domestica","Apple","Benoni","July","July","before 1832","Dedham",,"MA","United States","f"
"Malus domestica","Apple","Bentley's Sweet","October","October","before 1813",,,"WV","United States","fs"
"Malus domestica","Apple","Betsy Deaton","September","October",,,"Yancey County","NC","United States",
"Malus domestica","Apple","Bevan's Favorite","Late July","Late July","before 1842","Salem",,"NJ","United States","f"
"Malus domestica","Apple","Big Red","October","November",1867,"Clyde",,"NC","United States","f"
"Malus domestica","Apple","Big Stem","Late July","Late July",,,"Pocohontas County","WV","United States",
"Malus domestica","Apple","Billy Brown","July","August",,,"Union County","TN","United States",
"Malus domestica","Apple","Bishop","August","August","before 1900",,"Ashe County","NC","United States",
"Malus domestica","Apple","Bismarck","August","August","late 1800s",,,,"Germany",
"Malus domestica","Apple","Black Amish","September","October",,,,"PA","United States","fsyp"
"Malus domestica","Apple","Black Apple","Late July","August",1817,,,"NJ","United States",
"Malus domestica","Apple","Black Gilliflower","September","October","early 1700s",,,"CT","United States",
"Malus domestica","Apple","Black Jack","October","October",,"Roan Mountain",,"TN","United States",
"Malus domestica","Apple","Black Limbertwig","September","October",,,,,"United States","yp"
"Malus domestica","Apple","Blacktwig","October","October",1842,,"Washington County","AR","United States","fs"
"Malus domestica","Apple","Blairmont","August","August",1982,"Byron",,"GA","United States",
"Malus domestica","Apple","Bloomless, Seedless, Coreless","October","October",1868,"Flag Pond",,"VA","United States","s"
"Malus domestica","Apple","Blue Ridge King","August","September","1990s",,,"VA","United States","f"
"Malus domestica","Apple","Boger","September","October",,"Concord",,"NC","United States","p"
"Malus domestica","Apple","Bower's Nonpareil","August","August",1870,"Harrisonburg",,"VA","United States",
"Malus domestica","Apple","Branch","August","August",,,"Brunswick County","NC","United States",
"Malus domestica","Apple","Brichel Sweet","October","October",,,,"NC","United States",
"Malus domestica","Apple","Brogan",,,1986,,"Knox County","TN","United States","f"
"Malus domestica","Apple","Brogden","July","Early August",1945,,,"AL","United States","f"
"Malus domestica","Apple","Brooks","July","August",,"Statesville",,"NC","United States",
"Malus domestica","Apple","Brushy Mountain Limbertwig","October","October",,,"Alexander County","NC","United States","s"
"Malus domestica","Apple","Buckeye Beauty","October","October",1928,"Smithville",,"TN","United States",
"Malus domestica","Apple","Buckingham","August","September",1777,,"Louisa County","VA","United States","fsyp"
"Malus domestica","Apple","Bud Wolf","September","October",,,"Harford County","MD","United States","fp"
"Malus domestica","Apple","Buff","September","October","before 1853",,"Haywood County","NC","United States","p"
"Malus domestica","Apple","Buncombe","July","August","before 1867",,,"NC","United States","f"
"Malus domestica","Apple","Burl","August","August",,"Dunnville",,"KY","United States","f"
"Malus domestica","Apple","Burning Green","August","August",1868,,"Mitchell County","NC","United States","s"
"Malus domestica","Apple","Calvin","July","August",,,"VA",,"United States","f"
"Malus domestica","Apple","Camack's Sweet","late September","October","before 1900",,"Macon County","NC","United States","f"
"Malus domestica","Apple","Cannon Pearmain","October","November",1804,,,"VA","United States","fsyp"
"Malus domestica","Apple","Captain Davis","July","August",1865,,"Kosciusko","MS","United States",
"Malus domestica","Apple","Carolina Red June","June","July",1800,,"Pomaria","SC","United States","fy"
"Malus domestica","Apple","Carter's Blue","late September","late September","1840s","Montgomery",,"AL","United States","f"
"Malus domestica","Apple","Catawba","August","November",1860,,,"SC","United States",
"Malus domestica","Apple","Cathead","September","September",1851,,,"GA","United States","fp"
"Malus domestica","Apple","Cauley","August","September",1919,"Grenada",,"MS","United States",
"Malus domestica","Apple","Chatham Sweet","August","September","early 1900s",,"Alexander County","NC","United States","fp"
"Malus domestica","Apple","Chenango Strawberry","July","September","before 1850",,,"NY","United States","fp"
"Malus domestica","Apple","Chesapeake","September","September",1958,"Wallingford",,"KY","United States","fs"
"Malus domestica","Apple","Chimney Apple","August","August",1875,"Patrick Springs",,"VA","United States","fp"
"Malus domestica","Apple","Clapper Flat","September","September",1869,"Bethlehem",,"NY","United States",
"Malus domestica","Apple","Clarke's Pearmain","September","October",1755,,,"VA","United States",
"Malus domestica","Apple","Clarke's Orange","August","September",1877,,,"OH","United States",
"Malus domestica","Apple","Coble's Wilder","July","July",1923,"Julian",,"NC","United States","f"
"Malus domestica","Apple","Coe","Late August","Late August",1901,"Greensboro",,"NC","United States",
"Malus domestica","Apple","Coffelt Beauty","October","October",1887,,"Benton County"," AR","United States","fs"
"Malus domestica","Apple","Coffey Seedling","October","October",1890,,"Caldwell County","NC","United States",
"Malus domestica","Apple","Collins","October","October",1865,,"Washington County","AR","United States","s"
"Malus domestica","Apple","Collins June","June","July",1975,"Tifton",,"GA","United States","p"
"Malus domestica","Apple","Cothren","August","September",2000,,"Wilkes County","NC","United States",
"Malus domestica","Apple","Cotton","August","August",1888,"Cape Fear",,"NC","United States",
"Malus domestica","Apple","Crack","October","October",,"Taylorsville",,"NC","United States",
"Malus domestica","Apple","Critt","October","October",,,,"NC","United States","p"
"Malus domestica","Apple","Crow's Egg","Late August","September",,,"Worcester County","MA","United States","f"
"Malus domestica","Apple","Cullasaga","October","October",1830,,"Macon County","NC","United States",
"Malus domestica","Apple","Davidson Sweeting","July","August","mid-1800s","Cana",,"VA","United States","p"
"Malus domestica","Apple","Deaderick","late September","October",1850,,"Washington County","TN","United States",
"Malus domestica","Apple","Delicious","September","October",1881,,"Madison County","IA","United States","fs"
"Malus domestica","Apple","Devine","July","August",1895,,,"SC","United States",
"Malus domestica","Apple","Disharoon","September","October","1970s",,"Habersham County","GA","United States",
"Malus domestica","Apple","Doctor","September","October",1804,,,"PA","United States",
"Malus domestica","Apple","Doctor Matthews","September","September",1895,"Brazil",,"TN","United States","f"
"Malus domestica","Apple","Domine","October","October",1805,,,"MD","United States","s"
"Malus domestica","Apple","Donce","August","August",,,"Wilkes County","NC","United States",
"Malus domestica","Apple","Duchess of Oldenburg","July","July","before 1700","Tula",,"Russia","United States","p"
"Malus domestica","Apple","Dula's Beauty","September","September","late 1800s","Lenoir",,"NC","United States","fs"
"Malus domestica","Apple","Durham","August","September",,"Traphill",,"NC","United States",
"Malus domestica","Apple","Early Harvest","Late June","July",1817,"Long Island",,"NY","United States","fp"
"Malus domestica","Apple","Early Joe","July","July",1800,,"Ontario County","NY","United States","f"
"Malus domestica","Apple","Early Red Bird","June","June",1880,,,"New Brunswick","Canada","p"
"Malus domestica","Apple","Early Red Margaret","June","July",1874,,,,"United Kingdom of Great Britian and Northern Ireland",
"Malus domestica","Apple","Early Ripe","late June","late June",1800,,"Adams County","PA","United States",
"Malus domestica","Apple","Early Strawberry","late June","July",1838,,,"NY","United States","p"
"Malus domestica","Apple","Edward's Winter","late September","October",1869,,"Chatham County","NC","United States","fs"
"Malus domestica","Apple","Emerging Blaze","September","September",,,"Grant County","WV","United States",
"Malus domestica","Apple","Enos","July","July","1990s","Upper Tract",,"WV","United States",
"Malus domestica","Apple","Esopus Spitzenburg","September","October",1800,"Esopus",,"NY","United States","fs"
"Malus domestica","Apple","Fairgrove","September","September","1980s","Hickory",,"NC","United States","s"
"Malus domestica","Apple","Fall Orange","Late August","September",1770,"Holden",,"MA","United States","fp"
"Malus domestica","Apple","Fall Pippin","late August","September",1800,"Shenendoah Valley",,"VA","United States","fp"
"Malus domestica","Apple","Fall Premium","September","October",,,"Avery County","NC","United States",
"Malus domestica","Apple","Fallawater","September","October",1842,,"Bucks County","PA","United States","sp"
"Malus domestica","Apple","Fameuse","September","September",1700,,,,"France","fsyp"
"Malus domestica","Apple","Fanny","September","September",1869,,"Lancaster County","PA","United States","f"
"Malus domestica","Apple","Farhing's No Bloom","September","September",1899,"Hattie",,"NC","United States",
"Malus domestica","Apple","Fired Sweet","July","July",,"Marshall",,"NC","United States",
"Malus domestica","Apple","Flat Fall Cheese","September","September",1990,,,"VA","United States",
"Malus domestica","Apple","Flat Fallawater","September","September",,,"Ashe County","NC","United States",
"Malus domestica","Apple","Fleming","August","September",1942,"Moravian Falls",,"NC","United States",
"Malus domestica","Apple","Floyd Richmond","July","August",,"Carthage",,"MS","United States",
"Malus domestica","Apple","Foust","October","October",,,"Guilford County","NC","United States","f"
"Malus domestica","Apple","Fugate","July","July",,,"Cooke County","TN","United States","fp"
"Malus domestica","Apple","Fyan","September","October",1901,,"Wright County","MO","United States",
"Malus domestica","Apple","Gable","September","October","early 1900s",,"Randolph County","NC","United States",
"Malus domestica","Apple","Gano/Black Ben Davis","September","October",1877,"Parkville",,"MO","United States","f"
"Malus domestica","Apple","George Mack","September","October",1998,"Springfield"," TN","TN","United States",
"Malus domestica","Apple","Gilmore's Special Winesap/Gilmore's Sweetening","July","July","1940s","Julian"," NC","NC","United States",
"Malus domestica","Apple","Gilpin","September","September",1817,,,"VA","United States","syp"
"Malus domestica","Apple","Globe","September","September","~1950",,"Buncombe County","NC","United States","f"
"Malus domestica","Apple","Gloria Mundi","September","September",1800,"Red Hook",,"NY","United States","p"
"Malus domestica","Apple","Golden Delicious",,,,,"Clay County","WV","United States",
"Malus domestica","Apple","Golden Harvey","August","September","1600s",,"Herefordshire County",,"United Kingdom of Great Britian and Northern Ireland","f"
"Malus domestica","Apple","Golden Pippin","August","October",1884,,,"NC","United States",
"Malus domestica","Apple","Golden Reinette","September","September",1855,,"Herefordshire County",,"United Kingdom of Great Britian and Northern Ireland","f"
"Malus domestica","Apple","Golden Sweet","late June","July",1850,,,"CT","United States","f"
"Malus domestica","Apple","Gragg","September","October",1859,,"Caldwell County","NC","United States","sp"
"Malus domestica","Apple","Grandaddy","August","September",,"Dunnville",,"KY","United States",
"Malus domestica","Apple","Grandmother Cheese","September","September","early 1900s","Canton",,"NC","United States",
"Malus domestica","Apple","Granny Christian","September","September",1959,"Roanoke",,"VA","United States","fp"
"Malus domestica","Apple","Granny Mack","September","October",1930,"Cana",,"VA","United States",
"Malus domestica","Apple","Granny Neighbors","August","August",1975,,"Clay County","AL","United States","f"
"Malus domestica","Apple","Gravenstein","July","July",1669,"Gravenstein",,,"Denmark","fyp"
"Malus domestica","Apple","Green Cheese","September","October",1763,,,"NC","United States","fs"
"Malus domestica","Apple","Green Pippin","September","September",1867,,,"IN","United States",
"Malus domestica","Apple","Green River","August","August",,"Dunnville",,"KY","United States","f"
"Malus domestica","Apple","Grimes Golden","September","October",1790,,"Brooks County","WV","United States","fsyp"
"Malus domestica","Apple","Grindstone","November","November",,,,,"United States","sy"
"Malus domestica","Apple","Grissom","August","August",,"Cumberland Mountains",,"TN","United States",
"Malus domestica","Apple","Guyandotte","September","September",,"Logan",,"WV","United States","f"
"Malus domestica","Apple","Haas","September","September","early 1800s","St. Louis",,"MO","United States",
"Malus domestica","Apple","Hackworth","August","September","1800s",,"Morgan County","AL","United States","fp"
"Malus domestica","Apple","Hall","October","November","before 1800",,"Franklin County","NC","United States","fs"
"Malus domestica","Apple","Hammond","September","September",1858,"Spartanburg",,"SC","United States","f"
"Malus domestica","Apple","Harris","August","August",1860,,"Rockingham County","NC","United States",
