species_latin,species,name,early ripens,late ripens,origin_year,City 1,County 1,State 1,country,uses
Malus domestica,Apple,Old English Milam,August,August,Early 1900s,Shenandoah,,Virginia,United States,
Malus domestica,Apple,Oliver,September,October,early 1800s,,Washington County,Arkansas,United States,fs
Malus domestica,Apple,Old Fashioned Limbertwig,,,,,,,United States,fsyp
Malus domestica,Apple,Ooten,late August,late August,1895,,Mingo County,West Virginia,United States,fp
Malus domestica,Apple,Opalescent,August,September,1800s,,Barry County,Michigan,United States,f
Malus domestica,Apple,Ophir,August,September,early 1900s,Ophir,,North Carolina,United States,fp
Malus domestica,Apple,Ortley,October,October,1817,,,New Jersey,United States,
Malus domestica,Apple,Ozark Beauty,August,September,1970,Missouri,,,United States,f
Malus domestica,Apple,Parks' Pippin,mid September,mid September,mid 1800s,,Gilmer County,Georgia,United States,yp
Malus domestica,Apple,Parmer,July,August,,,,Virginia,United States,yp
Malus domestica,Apple,Paw,early September,early September,early 1900s,Taylorsville,,North Carolina,United States,
Malus domestica,Apple,Pennock,October,October,1817,,Delaware County,Pennsylvania,United States,s
Malus domestica,Apple,Perkins,September,October,,Statesville,,North Carolina,United States,
Malus domestica,Apple,Perry Russet,late September,October,early 1800s,New York,,,United States,f
Malus domestica,Apple,Pewaukee,October,November,1870,Pewaukee,,Wisconsin,United States,s
Malus domestica,Apple,Phifer,August,September,1800s,Statesville,,North Carolina,United States,
Malus domestica,Apple,Pilot,October,October,1830,,Nelson County,Virginia,United States,fsp
Malus domestica,Apple,Pineapple,late September,late September,1900s,,,,United States,
Malus domestica,Apple,Pinky,August,October,end of Civil War,,Cabarrus County,North Carolina,United States,
Malus domestica,Apple,Polly Eades,July,August,1884,Robards,,Kentucky,United States,
Malus domestica,Apple,Polly Sweet,late July,August,1915,Canton,,North Carolina,United States,
Malus domestica,Apple,Pomme Grise,August,September,1858,Canada,,,United States,f
Malus domestica,Apple,Porter,August,September,1800,Sherburne,,Massachusetts,United States,fp
Malus domestica,Apple,Potomac,late September,late September,1962,Wallingford,,Kentucky,United States,s
Malus domestica,Apple,Potts,September,September,,Brushy Mountains,,North Carolina,United States,y
Malus domestica,Apple,Pound,late August,September,1920s,Collinsville,,Alabama,United States,
Malus domestica,Apple,Primate,July,August,1900,Blacksburg,,Virginia,United States,f
Malus domestica,Apple,Prissy Gum,August,August,late 1700s,Vanderpool,,Virginia,United States,p
Malus domestica,Apple,Pryor's Red,October,October,1775,,Botetourt County,Virginia,United States,fs
Malus domestica,Apple,Pumpkin Sweet,August,August,1834,Manchester,,Connecticut,United States,p
Malus domestica,Apple,Queen,September,September,,,,Kentucky,United States,f
Malus domestica,Apple,Rabun Bald,September,October,1890,Clayton,,Georgia,United States,f
Malus domestica,Apple,Rainbow,August,September,1898,,,Missouri,United States,
Malus domestica,Apple,Ralls Janet,October,October,1790s,,Amherst County,Virginia,United States,fsy
Malus domestica,Apple,Rambo,September,October,1640,,,Delaware,United States,f
Malus domestica,Apple,Rattle Core,July,July,1869,,,North Carolina,United States,
Malus domestica,Apple,Rawley,September,September,early 1800s,,Scott County,Virginia,United States,
Malus domestica,Apple,Reasor Green,November,November,1887,,Lee County,Virginia,United States,fs
Malus domestica,Apple,Rebel,September,September,1850,,Rappahannock County,Virginia,United States,f
Malus domestica,Apple,Red Astrachan,June,July,1835,,,,Russian Federation,p
Malus domestica,Apple,Red Bietigheimer,August,September,1880,,,,Germany,p
Malus domestica,Apple,Red Canada,September,October,1822,,,Massachusetts,United States,fs
Malus domestica,Apple,Red Cathead,September,October,1853,,,Virginia,United States,
Malus domestica,Apple,Red Cheese,July,early August,1853,,,North Carolina,United States,p
Malus domestica,Apple,Red Delight,September,October,1960,Sylacauga,,Alabama,United States,f
Malus domestica,Apple,Red Detroit,late August,September,early 1900s,,,Georgia,United States,p
Malus domestica,Apple,Red Hackworth,August,September,1900,,Morgan County,Alabama,United States,
Malus domestica,Apple,Red Limbertwig,October,,,,,,United States,s
Malus domestica,Apple,Red Rebel,August,September,1930s,Wedowee,,Alabama,United States,
Malus domestica,Apple,Red Reese,early October,early October,1911,,Randolph County,Alabama,United States,
Malus domestica,Apple,Red Royal Limbertwig,September,October,,,,,United States,f
Malus domestica,Apple,Red Winter Sweet,October,October,1870,,,Virginia,United States,
Malus domestica,Apple,Regent,September,October,1924,Minnesota,,,United States,fs
Malus domestica,Apple,Republican Pippin,September,September,1855,,Lycoming County,Pennsylvania,United States,p
Malus domestica,Apple,Reverend Morgan,August,August,1972,Houston,,Texas,United States,
Malus domestica,Apple,Rexrode Beauty,October,October,1993,Buckhannon,,West Virginia,United States,
Malus domestica,Apple,Rhode Island Greening,September,October,1700,Newport,,Rhode Island,United States,fsp
Malus domestica,Apple,Roanoke,September,September,1967,Blacksburg,,Virginia,United States,
Malus domestica,Apple,Robertson Red,October,October,1870s,,Robertson County,Tennessee,United States,s
Malus domestica,Apple,Rock River Limbertwig,,,,,,,United States,
Malus domestica,Apple,Roman Stem,September,September,1868,,,New Jersey,United States,f
Malus domestica,Apple,Rome Beauty,September,October,1846,Rome,,Ohio,United States,sp
Malus domestica,Apple,Rose Limbertwig,,,,,,,United States,
Malus domestica,Apple,Roxbury Russet,September,October,1649,Roxbury,,Massachusetts,United States,fsy
Malus domestica,Apple,Royal Limbertwig,Early October,Early October,,,,,United States,fp
Malus domestica,Apple,Rusty Coat,late July,late July,,,,North Carolina,United States,
Malus domestica,Apple,Sally Gray,late July,August,1763,,,Virginia,United States,p
Malus domestica,Apple,Salome,October,October,1853,Ottowa,,Illinois,United States,fs
Malus domestica,Apple,Sam Apple,July,August,late 1800s,Eastanollee,,Georgia,United States,f
Malus domestica,Apple,Sam Hunt,September,October,1929,Jackson,,Mississippi,United States,
